Prod ID,Vendor Name,MfgPartNo,Short Description,Detail Description,Cost,Category Name,Inventory,Condition,Criteria
MITSU-CA0S3ES#A2N,HP,CA0S3ES#A2N,290 G9 TWR / 290 G9 IDS / i3-12100 / 8GB DDR4 / 512GB SSD / DOS /  1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 BLKkbd / 125mouse / Realtek AC 2x2 BT 5.0 WW WLAN /  RTF,290 G9 TWR / 290 G9 IDS / i3-12100 / 8GB DDR4 / 512GB SSD / DOS /  1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 BLKkbd / 125mouse / Realtek AC 2x2 BT 5.0 WW WLAN /  RTF,314.18,Desktops,100,NEW,
MITSU-CA0R6ES#A2N,HP,CA0R6ES#A2N,290 G9 TWR / 290 G9 IDS / i5-12400 / 8GB / 256GB SSD / DOS / / 2YW / 125 BLKkbd / 125mouse / Realtek AC 2x2 BT 5.0 WW WLAN / RTF Card ,290 G9 TWR / 290 G9 IDS / i5-12400 / 8GB / 256GB SSD / DOS / / 2YW / 125 BLKkbd / 125mouse / Realtek AC 2x2 BT 5.0 WW WLAN / RTF Card ,409.19,Desktops,100,NEW,
MITSU-CA2X8ES#A2N,HP,CA2X8ES#A2N,"HP 250 G10 7-150U 15 16GB/512 PC Intel i7-1355U, 15.6 FHD AG LED SVA, UMA, Webcam, 16GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS","HP 250 G10 7-150U 15 16GB/512 PC Intel i7-1355U, 15.6 FHD AG LED SVA, UMA, Webcam, 16GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS",573.9,Notebooks,100,NEW,
MITSU-CA2Y0ES#A2N,HP,CA2Y0ES#A2N,"250 G10 3-100U 8GB/512 PC Intel i3-1315U, 15.6 FHD AG LED SVA, UMA, Webcam, 8GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS","250 G10 3-100U 8GB/512 PC Intel i3-1315U, 15.6 FHD AG LED SVA, UMA, Webcam, 8GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS",308.46,Notebooks,100,NEW,
MITSU-CA3U1ES#A2N,HP,CA3U1ES#A2N,"HP 250 G10 5-120U 8GB/512 PC Intel i5-1334U, 15.6 FHD AG LED SVA, UMA, Webcam, 8GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS","HP 250 G10 5-120U 8GB/512 PC Intel i5-1334U, 15.6 FHD AG LED SVA, UMA, Webcam, 8GB DDR4, 512GB SSD, ax+BT, 3C Batt, FreeDOS",461.19,Notebooks,100,NEW,
MITSU-A23A5EA#A2N,HP,A23A5EA#A2N,UMA U5-125U RT USBC 460 G11 / 16.0 WUXGA  UWVA 300 FHDC 60Hz bnt Panel / 16GB (2x8GB) DDR5 5600 SODIMM Memory / 512GB PCIe NVMe Value / DOS /HP3yearNextBusinessDayOnsiteCareNotebookBundledSupport / Dual AryMic F USB2 NFOVCamera / Clickpad Backlit w,UMA U5-125U RT USBC 460 G11 / 16.0 WUXGA  UWVA 300 FHDC 60Hz bnt Panel / 16GB (2x8GB) DDR5 5600 SODIMM Memory / 512GB PCIe NVMe Value / DOS /HP3yearNextBusinessDayOnsiteCareNotebookBundledSupport / Dual AryMic F USB2 NFOVCamera / Clickpad Backlit w,670.82,Notebooks,100,NEW,
MITSU-A23A5EA,HP,A23A5EA,"PB460G11 U5-125U 16 16GB/512 PC Intel U5-125U, 16 WUXGA AG LED UWVA, UMA, Webcam, 16GB DDR5, 512GB SSD, ax6G+BT, 3C Batt, FPS, FreeDOS","PB460G11 U5-125U 16 16GB/512 PC Intel U5-125U, 16 WUXGA AG LED UWVA, UMA, Webcam, 16GB DDR5, 512GB SSD, ax6G+BT, 3C Batt, FPS, FreeDOS",670.28,Notebooks,100,NEW,
MITSU-CA7X4ES#A2N,HP,CA7X4ES#A2N,"HP P4G1i14 U5 225U 14 16GB/512 PC HP P4G1i14 U5 225U 14 16GB/512 PC Intel U5 225U, 14 WUXGA AG LED UWVA, UMA, Webcam, 16GB DDR5, 512GB SSD, ax6G+BT, 3C Batt","HP P4G1i14 U5 225U 14 16GB/512 PC HP P4G1i14 U5 225U 14 16GB/512 PC Intel U5 225U, 14 WUXGA AG LED UWVA, UMA, Webcam, 16GB DDR5, 512GB SSD, ax6G+BT, 3C Batt",666.74,Notebooks,100,NEW,
MITSU-CA7X8ES#A2N,HP,CA7X8ES#A2N,"HP P4G1i16 U7 255U 16 16GB/512 PC HP P4G1i16 U7 255U 16 16GB/512 PC Intel U7 255U, 16 WUXGA AG LED UWVA TS, UMA, Webcam, 16GB DDR5, 256GB SSD, ax6G+BT, 3C Batt, DOS","HP P4G1i16 U7 255U 16 16GB/512 PC HP P4G1i16 U7 255U 16 16GB/512 PC Intel U7 255U, 16 WUXGA AG LED UWVA TS, UMA, Webcam, 16GB DDR5, 256GB SSD, ax6G+BT, 3C Batt, DOS",782.99,Notebooks,100,NEW,
MITSU-AQ5M0AT#A2N,HP,AQ5M0AT#A2N,"Dragonfly 13.5 inch (i7-1355U, UMA, 16GB) / 13.5 BV WUXGA+ (1920x1280) W+LBL UWVA 400 bnt Panel / 512GB PCIe NVMe Value / W11Home64Plus / Clickpad Backlit  Premium kbd / Intel AX211 Wi-Fi 6E +BT 5.3 / Slate Blue Magnesium no WWAN non-Touchscreen ID ""","Dragonfly 13.5 inch (i7-1355U, UMA, 16GB) / 13.5 BV WUXGA+ (1920x1280) W+LBL UWVA 400 bnt Panel / 512GB PCIe NVMe Value / W11Home64Plus / Clickpad Backlit  Premium kbd / Intel AX211 Wi-Fi 6E +BT 5.3 / Slate Blue Magnesium no WWAN non-Touchscreen ID """,1200.62,Notebooks,100,NEW,
MITSU-9M9K6AT#A2N,HP,9M9K6AT#A2N,240G1024AiOBU-i5-1334UIDS / 23.8 inch AG FHD UWVA IPS 250 / 8GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 Black Cellulose Fiber Packagingkbd / 125mouseCelluloseFiberPa,240G1024AiOBU-i5-1334UIDS / 23.8 inch AG FHD UWVA IPS 250 / 8GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 Black Cellulose Fiber Packagingkbd / 125mouseCelluloseFiberPa,575.26,Desktops,100,NEW,
MITSU-9M9K7AT#A2N,HP,9M9K7AT#A2N,240G1024AiOBU-i5-1334UIDS / 23.8 inch AG FHD UWVA IPS 250 / 8GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 White Cellulose Fiber Packagingkbd / 125WhitemouseCelluloseFi,240G1024AiOBU-i5-1334UIDS / 23.8 inch AG FHD UWVA IPS 250 / 8GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 White Cellulose Fiber Packagingkbd / 125WhitemouseCelluloseFi,576.08,Desktops,100,NEW,
MITSU-9M9K8AT#A2N,HP,9M9K8AT#A2N,240G1024AiOBU-i7-1355UIDS / 23.8 inch AG FHD UWVA IPS 250 / 16GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 Black Cellulose Fiber Packagingkbd / 125mouseCelluloseFiberP,240G1024AiOBU-i7-1355UIDS / 23.8 inch AG FHD UWVA IPS 250 / 16GB DDR4 / 512GB M.2 SSD Value / DOS / 1yw / HP 2 year Next Business Day Onsite Desktop Only Hardware SupportWarranty Extension / 125 Black Cellulose Fiber Packagingkbd / 125mouseCelluloseFiberP,741.34,Desktops,100,NEW,
