Product ID,Short Description,Cost
DCCUDEL11353DI3BX001,Vostro 3530/Core i3-1305U/8GB/512GB SSD/15.6" FHD/Intel UHD/Cam & Mic/WLAN + BT/US ENG Kb/3 Cell/Ubuntu/ 1 Yr PS NBD,310
DCCJDEL11353DI5BX001,"VOSTRO 3530,I5-1334U,8GB,512GB SSD, 15.6"" FHD 120Hz/Intel HD/FHD Cam/Mic/WLAN + BT/Kb/3 Cell/Ubuntu ,ENG KB,DOS,1YR",430
DCCUDEL11353DI5BX001,Vostro 3530/Core i5-1334U/8GB/512GB SSD/15.6" FHD 120Hz/Intel HD/FHD Cam/Mic/WLAN + BT/Kb/3 Cell/Ubuntu,430
DCCJDEL11353DI7BX001,"VOSTRO 3530,I7-1355U,8GB DDR4,512GB SSD,E/A KB,DOS,1YR PS",525
DCCUDEL11353DI7BX001,"VOSTRO 3530,I7-1355U,8GB,512GB SSD,ENGLISH KB,DOS,1YR NBD PS",525
DCCUDEL11345DI5BX001,"LATITUDE 3450,I5-1335U,8GB, 512GB SSD Class 35 SSD Hard Drive, BKLT US EN KB,Ubuntu, 14.0'' FHD (1920x1080)  AG Non-Touch, 220nits, Camera & Microphone , WLAN Capable, 3 Cell 41Whr Battery, WLAN Intel AX201NT, FPR, WLAN + BT /FPR/English Keyboard USA Layout 1YR NBD PS",650
DCCUDEL11345DI5BX002,"LATITUDE 3450,I5-1335U,8GB, 512GB SSD Class 35 SSD Hard Drive, BKLT US EN KB,Ubuntu, 14.0'' FHD (1920x1080)  AG Non-Touch, 220nits, Camera & Microphone , WLAN Capable, 3 Cell 41Whr Battery, WLAN Intel AX201NT, FPR, WLAN + BT /FPR/English / Arabic Keyboard USA Layout 1YR NBD PS",650
DCCUDEL11345DI7BX001,"Dell Latitude 3450, i7-1335U, 8GB DDR5, 512GB M.2 PCIe NVMe SSD, 14.0"" FHD, Intel Iris Xe, Finger Print Reader, FHD Cam, MIC,WLAN + BT, US English Backlit Keyboard, 3 Cell, Ubuntu, 1 Year ProSupport",750
DCCUDEL11345DI7BX002,"Dell Latitude 3450, i7-1335U, 8GB DDR5, 512GB M.2 PCIe NVMe SSD, 14.0"" FHD, Intel Iris Xe, Finger Print Reader, FHD Cam, MIC,WLAN + BT, US English / Arabic Backlit Keyboard, 3 Cell, Ubuntu, 1 Year ProSupport",750
DCCUDEL11355DI5BX001,"LATITUDE 3550, I5-1335U,8GB, 512GB SSD Class 35 SSD Hard Drive, BKLT US EN KB,Ubuntu, 15.6'' FHD (1920x1080)  AG Non-Touch, 220nits, Camera & Microphone , WLAN Capable, 3 Cell 41Whr Battery, WLAN Intel AX201NT, FPR, WLAN + BT /FPR/English Keyboard USA Layout 1YR NBD PS",650
